,sound_index,subject_index,naturalness,sound_filename,snr,sound_background,sound_foreground,model
0,1,1,1,snrN10_noiseAudScene_fg004.wav,-10,noiseAudScene,fg004,unprocessed_input
1,1,70,1,snrN10_noiseAudScene_fg004.wav,-10,noiseAudScene,fg004,unprocessed_input
2,2,73,7,snrN10_noiseAudScene_fg022.wav,-10,noiseAudScene,fg022,unprocessed_input
3,2,93,1,snrN10_noiseAudScene_fg022.wav,-10,noiseAudScene,fg022,unprocessed_input
4,3,54,4,snrN10_noiseAudScene_fg025.wav,-10,noiseAudScene,fg025,unprocessed_input
5,3,67,1,snrN10_noiseAudScene_fg025.wav,-10,noiseAudScene,fg025,unprocessed_input
6,3,68,1,snrN10_noiseAudScene_fg025.wav,-10,noiseAudScene,fg025,unprocessed_input
7,3,74,3,snrN10_noiseAudScene_fg025.wav,-10,noiseAudScene,fg025,unprocessed_input
8,3,77,1,snrN10_noiseAudScene_fg025.wav,-10,noiseAudScene,fg025,unprocessed_input
9,3,96,2,snrN10_noiseAudScene_fg025.wav,-10,noiseAudScene,fg025,unprocessed_input
10,4,60,1,snrN10_noiseAudScene_fg030.wav,-10,noiseAudScene,fg030,unprocessed_input
11,4,92,1,snrN10_noiseAudScene_fg030.wav,-10,noiseAudScene,fg030,unprocessed_input
12,5,69,2,snrN10_noiseAudScene_fg037.wav,-10,noiseAudScene,fg037,unprocessed_input
13,6,23,3,snrN10_noiseAudScene_fg045.wav,-10,noiseAudScene,fg045,unprocessed_input
14,6,24,1,snrN10_noiseAudScene_fg045.wav,-10,noiseAudScene,fg045,unprocessed_input
15,6,38,5,snrN10_noiseAudScene_fg045.wav,-10,noiseAudScene,fg045,unprocessed_input
16,6,55,1,snrN10_noiseAudScene_fg045.wav,-10,noiseAudScene,fg045,unprocessed_input
17,6,65,1,snrN10_noiseAudScene_fg045.wav,-10,noiseAudScene,fg045,unprocessed_input
18,7,21,2,snrN10_noiseAudScene_fg046.wav,-10,noiseAudScene,fg046,unprocessed_input
19,7,91,2,snrN10_noiseAudScene_fg046.wav,-10,noiseAudScene,fg046,unprocessed_input
20,8,8,2,snrN10_noiseAudScene_fg063.wav,-10,noiseAudScene,fg063,unprocessed_input
21,8,84,1,snrN10_noiseAudScene_fg063.wav,-10,noiseAudScene,fg063,unprocessed_input
22,9,76,1,snrN10_noiseAudScene_fg072.wav,-10,noiseAudScene,fg072,unprocessed_input
23,9,99,1,snrN10_noiseAudScene_fg072.wav,-10,noiseAudScene,fg072,unprocessed_input
24,10,18,1,snrN10_noiseAudScene_fg078.wav,-10,noiseAudScene,fg078,unprocessed_input
25,10,71,1,snrN10_noiseAudScene_fg078.wav,-10,noiseAudScene,fg078,unprocessed_input
26,10,95,1,snrN10_noiseAudScene_fg078.wav,-10,noiseAudScene,fg078,unprocessed_input
27,10,100,1,snrN10_noiseAudScene_fg078.wav,-10,noiseAudScene,fg078,unprocessed_input
28,10,102,3,snrN10_noiseAudScene_fg078.wav,-10,noiseAudScene,fg078,unprocessed_input
29,11,61,1,snrN10_noiseAudScene_fg080.wav,-10,noiseAudScene,fg080,unprocessed_input
30,11,85,1,snrN10_noiseAudScene_fg080.wav,-10,noiseAudScene,fg080,unprocessed_input
31,12,25,1,snrN10_noiseAudScene_fg099.wav,-10,noiseAudScene,fg099,unprocessed_input
32,12,30,1,snrN10_noiseAudScene_fg099.wav,-10,noiseAudScene,fg099,unprocessed_input
33,12,80,1,snrN10_noiseAudScene_fg099.wav,-10,noiseAudScene,fg099,unprocessed_input
34,13,17,2,snrN10_noiseAudScene_fg135.wav,-10,noiseAudScene,fg135,unprocessed_input
35,13,94,2,snrN10_noiseAudScene_fg135.wav,-10,noiseAudScene,fg135,unprocessed_input
36,14,82,2,snrN10_noiseAudScene_fg147.wav,-10,noiseAudScene,fg147,unprocessed_input
37,16,40,1,snrN10_noiseAudScene_fg170.wav,-10,noiseAudScene,fg170,unprocessed_input
38,17,43,1,snrN10_noiseAudScene_fg220.wav,-10,noiseAudScene,fg220,unprocessed_input
39,17,58,1,snrN10_noiseAudScene_fg220.wav,-10,noiseAudScene,fg220,unprocessed_input
40,17,86,1,snrN10_noiseAudScene_fg220.wav,-10,noiseAudScene,fg220,unprocessed_input
41,18,79,1,snrN10_noiseAudScene_fg267.wav,-10,noiseAudScene,fg267,unprocessed_input
