,sound_index,subject_index,naturalness,sound_filename,snr,sound_background,sound_foreground,model
50,52,30,1,snrN10_noiseBabble8Spkr_fg099.wav,-10,noiseBabble8Spkr,fg099,wavenet_waveform
51,53,27,2,snrN10_noiseBabble8Spkr_fg135.wav,-10,noiseBabble8Spkr,fg135,wavenet_waveform
52,54,34,1,snrN10_noiseBabble8Spkr_fg147.wav,-10,noiseBabble8Spkr,fg147,wavenet_waveform
53,58,29,5,snrN10_noiseBabble8Spkr_fg267.wav,-10,noiseBabble8Spkr,fg267,wavenet_waveform
54,58,31,3,snrN10_noiseBabble8Spkr_fg267.wav,-10,noiseBabble8Spkr,fg267,wavenet_waveform
55,59,4,1,snrN10_noiseBabble8Spkr_fg298.wav,-10,noiseBabble8Spkr,fg298,wavenet_waveform
56,60,11,2,snrN10_noiseBabble8Spkr_fg316.wav,-10,noiseBabble8Spkr,fg316,wavenet_waveform
57,64,33,1,snrN10_noiseBabble8Spkr_fg334.wav,-10,noiseBabble8Spkr,fg334,wavenet_waveform
58,65,3,1,snrN10_noiseBabble8Spkr_fg364.wav,-10,noiseBabble8Spkr,fg364,wavenet_waveform
59,65,14,1,snrN10_noiseBabble8Spkr_fg364.wav,-10,noiseBabble8Spkr,fg364,wavenet_waveform
60,66,6,3,snrN10_noiseBabble8Spkr_fg365.wav,-10,noiseBabble8Spkr,fg365,wavenet_waveform
61,66,7,1,snrN10_noiseBabble8Spkr_fg365.wav,-10,noiseBabble8Spkr,fg365,wavenet_waveform
62,66,18,2,snrN10_noiseBabble8Spkr_fg365.wav,-10,noiseBabble8Spkr,fg365,wavenet_waveform
63,68,24,1,snrN10_noiseBabble8Spkr_fg405.wav,-10,noiseBabble8Spkr,fg405,wavenet_waveform
64,68,25,1,snrN10_noiseBabble8Spkr_fg405.wav,-10,noiseBabble8Spkr,fg405,wavenet_waveform
65,70,5,1,snrN10_noiseBabble8Spkr_fg451.wav,-10,noiseBabble8Spkr,fg451,wavenet_waveform
66,70,13,4,snrN10_noiseBabble8Spkr_fg451.wav,-10,noiseBabble8Spkr,fg451,wavenet_waveform
67,70,32,1,snrN10_noiseBabble8Spkr_fg451.wav,-10,noiseBabble8Spkr,fg451,wavenet_waveform
68,72,21,1,snrN10_noiseBabble8Spkr_fg485.wav,-10,noiseBabble8Spkr,fg485,wavenet_waveform
69,73,10,1,snrN10_noiseBabble8Spkr_fg495.wav,-10,noiseBabble8Spkr,fg495,wavenet_waveform
70,79,9,1,snrN10_noiseBabble8Spkr_fg763.wav,-10,noiseBabble8Spkr,fg763,wavenet_waveform
71,79,17,1,snrN10_noiseBabble8Spkr_fg763.wav,-10,noiseBabble8Spkr,fg763,wavenet_waveform
72,80,11,1,snrN10_noiseMusic_fg000.wav,-10,noiseMusic,fg000,wavenet_waveform
73,80,25,2,snrN10_noiseMusic_fg000.wav,-10,noiseMusic,fg000,wavenet_waveform
74,81,7,1,snrN10_noiseMusic_fg004.wav,-10,noiseMusic,fg004,wavenet_waveform
75,81,22,2,snrN10_noiseMusic_fg004.wav,-10,noiseMusic,fg004,wavenet_waveform
76,82,2,3,snrN10_noiseMusic_fg022.wav,-10,noiseMusic,fg022,wavenet_waveform
77,82,6,1,snrN10_noiseMusic_fg022.wav,-10,noiseMusic,fg022,wavenet_waveform
78,82,24,1,snrN10_noiseMusic_fg022.wav,-10,noiseMusic,fg022,wavenet_waveform
79,82,29,6,snrN10_noiseMusic_fg022.wav,-10,noiseMusic,fg022,wavenet_waveform
80,83,9,2,snrN10_noiseMusic_fg025.wav,-10,noiseMusic,fg025,wavenet_waveform
81,83,16,3,snrN10_noiseMusic_fg025.wav,-10,noiseMusic,fg025,wavenet_waveform
82,83,34,4,snrN10_noiseMusic_fg025.wav,-10,noiseMusic,fg025,wavenet_waveform
83,84,0,1,snrN10_noiseMusic_fg030.wav,-10,noiseMusic,fg030,wavenet_waveform
84,85,27,3,snrN10_noiseMusic_fg037.wav,-10,noiseMusic,fg037,wavenet_waveform
85,85,31,2,snrN10_noiseMusic_fg037.wav,-10,noiseMusic,fg037,wavenet_waveform
86,87,17,1,snrN10_noiseMusic_fg046.wav,-10,noiseMusic,fg046,wavenet_waveform
87,89,3,2,snrN10_noiseMusic_fg072.wav,-10,noiseMusic,fg072,wavenet_waveform
88,90,26,3,snrN10_noiseMusic_fg078.wav,-10,noiseMusic,fg078,wavenet_waveform
89,91,35,1,snrN10_noiseMusic_fg080.wav,-10,noiseMusic,fg080,wavenet_waveform
90,92,12,1,snrN10_noiseMusic_fg099.wav,-10,noiseMusic,fg099,wavenet_waveform
91,92,20,3,snrN10_noiseMusic_fg099.wav,-10,noiseMusic,fg099,wavenet_waveform
92,92,32,1,snrN10_noiseMusic_fg099.wav,-10,noiseMusic,fg099,wavenet_waveform
93,92,33,2,snrN10_noiseMusic_fg099.wav,-10,noiseMusic,fg099,wavenet_waveform
94,93,4,1,snrN10_noiseMusic_fg135.wav,-10,noiseMusic,fg135,wavenet_waveform
95,99,14,3,snrN10_noiseMusic_fg298.wav,-10,noiseMusic,fg298,wavenet_waveform
96,100,30,3,snrN10_noiseMusic_fg316.wav,-10,noiseMusic,fg316,wavenet_waveform
97,103,28,2,snrN10_noiseMusic_fg329.wav,-10,noiseMusic,fg329,wavenet_waveform
98,109,18,2,snrN10_noiseMusic_fg428.wav,-10,noiseMusic,fg428,wavenet_waveform
99,111,13,3,snrN10_noiseMusic_fg475.wav,-10,noiseMusic,fg475,wavenet_waveform
100,112,10,1,snrN10_noiseMusic_fg485.wav,-10,noiseMusic,fg485,wavenet_waveform
101,113,19,1,snrN10_noiseMusic_fg495.wav,-10,noiseMusic,fg495,wavenet_waveform
102,114,8,4,snrN10_noiseMusic_fg522.wav,-10,noiseMusic,fg522,wavenet_waveform
103,114,23,2,snrN10_noiseMusic_fg522.wav,-10,noiseMusic,fg522,wavenet_waveform
104,115,15,5,snrN10_noiseMusic_fg537.wav,-10,noiseMusic,fg537,wavenet_waveform
105,117,1,3,snrN10_noiseMusic_fg619.wav,-10,noiseMusic,fg619,wavenet_waveform
106,117,21,2,snrN10_noiseMusic_fg619.wav,-10,noiseMusic,fg619,wavenet_waveform
107,119,5,4,snrN10_noiseMusic_fg763.wav,-10,noiseMusic,fg763,wavenet_waveform
108,120,4,1,snrN10_noiseSpeakerShapedNoise_fg000.wav,-10,noiseSpeakerShapedNoise,fg000,wavenet_waveform
109,121,27,1,snrN10_noiseSpeakerShapedNoise_fg004.wav,-10,noiseSpeakerShapedNoise,fg004,wavenet_waveform
110,122,26,1,snrN10_noiseSpeakerShapedNoise_fg022.wav,-10,noiseSpeakerShapedNoise,fg022,wavenet_waveform
111,123,20,1,snrN10_noiseSpeakerShapedNoise_fg025.wav,-10,noiseSpeakerShapedNoise,fg025,wavenet_waveform
112,124,7,1,snrN10_noiseSpeakerShapedNoise_fg030.wav,-10,noiseSpeakerShapedNoise,fg030,wavenet_waveform
113,125,23,2,snrN10_noiseSpeakerShapedNoise_fg037.wav,-10,noiseSpeakerShapedNoise,fg037,wavenet_waveform
114,126,9,1,snrN10_noiseSpeakerShapedNoise_fg045.wav,-10,noiseSpeakerShapedNoise,fg045,wavenet_waveform
115,129,18,3,snrN10_noiseSpeakerShapedNoise_fg072.wav,-10,noiseSpeakerShapedNoise,fg072,wavenet_waveform
116,131,28,1,snrN10_noiseSpeakerShapedNoise_fg080.wav,-10,noiseSpeakerShapedNoise,fg080,wavenet_waveform
117,132,11,1,snrN10_noiseSpeakerShapedNoise_fg099.wav,-10,noiseSpeakerShapedNoise,fg099,wavenet_waveform
118,132,15,2,snrN10_noiseSpeakerShapedNoise_fg099.wav,-10,noiseSpeakerShapedNoise,fg099,wavenet_waveform
119,132,19,1,snrN10_noiseSpeakerShapedNoise_fg099.wav,-10,noiseSpeakerShapedNoise,fg099,wavenet_waveform
120,133,12,1,snrN10_noiseSpeakerShapedNoise_fg135.wav,-10,noiseSpeakerShapedNoise,fg135,wavenet_waveform
121,134,6,2,snrN10_noiseSpeakerShapedNoise_fg147.wav,-10,noiseSpeakerShapedNoise,fg147,wavenet_waveform
122,135,35,1,snrN10_noiseSpeakerShapedNoise_fg166.wav,-10,noiseSpeakerShapedNoise,fg166,wavenet_waveform
123,136,3,1,snrN10_noiseSpeakerShapedNoise_fg170.wav,-10,noiseSpeakerShapedNoise,fg170,wavenet_waveform
124,137,13,2,snrN10_noiseSpeakerShapedNoise_fg220.wav,-10,noiseSpeakerShapedNoise,fg220,wavenet_waveform
125,137,31,2,snrN10_noiseSpeakerShapedNoise_fg220.wav,-10,noiseSpeakerShapedNoise,fg220,wavenet_waveform
126,138,16,2,snrN10_noiseSpeakerShapedNoise_fg267.wav,-10,noiseSpeakerShapedNoise,fg267,wavenet_waveform
127,138,22,1,snrN10_noiseSpeakerShapedNoise_fg267.wav,-10,noiseSpeakerShapedNoise,fg267,wavenet_waveform
128,141,17,1,snrN10_noiseSpeakerShapedNoise_fg322.wav,-10,noiseSpeakerShapedNoise,fg322,wavenet_waveform
129,141,33,1,snrN10_noiseSpeakerShapedNoise_fg322.wav,-10,noiseSpeakerShapedNoise,fg322,wavenet_waveform
130,141,34,1,snrN10_noiseSpeakerShapedNoise_fg322.wav,-10,noiseSpeakerShapedNoise,fg322,wavenet_waveform
131,142,14,1,snrN10_noiseSpeakerShapedNoise_fg327.wav,-10,noiseSpeakerShapedNoise,fg327,wavenet_waveform
132,143,24,1,snrN10_noiseSpeakerShapedNoise_fg329.wav,-10,noiseSpeakerShapedNoise,fg329,wavenet_waveform
133,144,25,1,snrN10_noiseSpeakerShapedNoise_fg334.wav,-10,noiseSpeakerShapedNoise,fg334,wavenet_waveform
134,145,5,1,snrN10_noiseSpeakerShapedNoise_fg364.wav,-10,noiseSpeakerShapedNoise,fg364,wavenet_waveform
